date,high temp,low temp,cumulative precip month,cum precip in year,cum snow month,cum snow year,precip per day,snow per day
9 Aug,96.8,74.1,0.51,22.95,0,0,0.04,0
10 Aug,96.7,74,0.59,23.03,0,0,0.08,0
11 Aug,96.6,74,0.67,23.11,0,0,0.08,0
12 Aug,96.6,73.9,0.71,23.15,0,0,0.04,0
13 Aug,96.5,73.8,0.79,23.23,0,0,0.08,0
14 Aug,96.4,73.8,0.83,23.27,0,0,0.04,0
15 Aug,96.3,73.7,0.87,23.31,0,0,0.04,0
16 Aug,96.2,73.6,0.94,23.39,0,0,0.08,0
17 Aug,96,73.5,0.98,23.43,0,0,0.04,0
18 Aug,95.9,73.4,1.06,23.5,0,0,0.07,0
19 Aug,95.7,73.2,1.14,23.58,0,0,0.08,0
20 Aug,95.6,73.1,1.22,23.66,0,0,0.08,0
21 Aug,95.4,72.9,1.3,23.74,0,0,0.08,0
22 Aug,95.2,72.8,1.38,23.82,0,0,0.08,0
23 Aug,95,72.6,1.46,23.9,0,0,0.08,0
24 Aug,94.8,72.4,1.5,23.94,0,0,0.04,0
25 Aug,94.5,72.3,1.57,24.02,0,0,0.08,0
26 Aug,94.3,72,1.65,24.09,0,0,0.07,0
27 Aug,94.1,71.8,1.73,24.17,0,0,0.08,0
28 Aug,93.8,71.6,1.85,24.29,0,0,0.12,0
29 Aug,93.5,71.4,1.93,24.37,0,0,0.08,0
30 Aug,93.3,71.1,2.05,24.49,0,0,0.12,0
31 Aug,93,70.9,2.13,24.57,0,0,0.08,0
1 Sep,92.7,70.6,0.12,24.69,0,0,0.12,0
2 Sep,92.4,70.3,0.24,24.8,0,0,0.11,0
3 Sep,92.1,70,0.35,24.92,0,0,0.12,0
4 Sep,91.8,69.7,0.43,25.04,0,0,0.12,0
5 Sep,91.5,69.4,0.55,25.16,0,0,0.12,0
6 Sep,91.1,69.1,0.67,25.28,0,0,0.12,0
7 Sep,90.8,68.7,0.79,25.35,0,0,0.07,0
8 Sep,90.5,68.4,0.91,25.47,0,0,0.12,0
9 Sep,90.1,68.1,1.02,25.59,0,0,0.12,0
10 Sep,89.8,67.7,1.14,25.71,0,0,0.12,0
11 Sep,89.4,67.3,1.26,25.83,0,0,0.12,0
12 Sep,89.1,67,1.34,25.94,0,0,0.11,0
13 Sep,88.7,66.6,1.46,26.02,0,0,0.08,0
14 Sep,88.4,66.2,1.57,26.14,0,0,0.12,0
15 Sep,88,65.8,1.65,26.26,0,0,0.12,0
16 Sep,87.7,65.4,1.77,26.34,0,0,0.08,0
17 Sep,87.3,65,1.85,26.42,0,0,0.08,0
18 Sep,86.9,64.6,1.93,26.54,0,0,0.12,0
19 Sep,86.6,64.3,2.01,26.61,0,0,0.07,0
20 Sep,86.2,63.9,2.13,26.69,0,0,0.08,0
21 Sep,85.9,63.5,2.2,26.77,0,0,0.08,0
22 Sep,85.5,63.1,2.28,26.85,0,0,0.08,0
23 Sep,85.2,62.7,2.4,26.97,0,0,0.12,0
24 Sep,84.8,62.3,2.48,27.09,0,0,0.12,0
25 Sep,84.5,61.9,2.6,27.17,0,0,0.08,0
26 Sep,84.1,61.5,2.72,27.28,0,0,0.11,0
27 Sep,83.8,61.1,2.8,27.36,0,0,0.08,0
28 Sep,83.4,60.7,2.87,27.48,0,0,0.12,0
29 Sep,83.1,60.3,2.99,27.56,0,0,0.08,0
30 Sep,82.7,59.9,3.07,27.68,0,0,0.12,0
1 Oct,82.4,59.6,0.12,27.8,0,0,0.12,0
2 Oct,82.1,59.2,0.24,27.91,0,0,0.11,0
3 Oct,81.7,58.8,0.35,28.03,0,0,0.12,0
4 Oct,81.4,58.5,0.47,28.15,0,0,0.12,0
5 Oct,81.1,58.1,0.63,28.31,0,0,0.16,0
6 Oct,80.7,57.8,0.75,28.43,0,0,0.12,0
7 Oct,80.4,57.4,0.91,28.58,0,0,0.15,0
8 Oct,80.1,57.1,1.06,28.74,0,0,0.16,0
9 Oct,79.8,56.7,1.22,28.9,0,0,0.16,0
10 Oct,79.4,56.4,1.38,29.06,0,0,0.16,0
11 Oct,79.1,56.1,1.54,29.21,0,0,0.15,0
12 Oct,78.8,55.7,1.69,29.37,0,0,0.16,0
13 Oct,78.5,55.4,1.85,29.53,0,0,0.16,0
14 Oct,78.2,55.1,2.05,29.72,0,0,0.19,0
15 Oct,77.9,54.8,2.2,29.88,0,0,0.16,0
16 Oct,77.5,54.4,2.4,30.08,0,0,0.2,0
17 Oct,77.2,54.1,2.6,30.24,0,0,0.16,0
18 Oct,76.9,53.8,2.8,30.43,0,0,0.19,0
19 Oct,76.6,53.5,2.95,30.63,0,0,0.2,0
20 Oct,76.2,53.2,3.15,30.83,0,0,0.2,0
21 Oct,75.9,52.9,3.35,31.02,0,0,0.19,0
22 Oct,75.6,52.6,3.5,31.18,0,0,0.16,0
23 Oct,75.3,52.2,3.66,31.34,0,0,0.16,0
24 Oct,74.9,51.9,3.86,31.54,0,0,0.2,0
25 Oct,74.6,51.6,4.02,31.69,0,0,0.15,0
26 Oct,74.2,51.3,4.17,31.85,0,0,0.16,0
27 Oct,73.9,50.9,4.33,32.01,0,0,0.16,0
28 Oct,73.5,50.6,4.49,32.17,0,0,0.16,0
29 Oct,73.2,50.3,4.65,32.32,0,0,0.15,0
30 Oct,72.8,49.9,4.8,32.48,0,0,0.16,0
31 Oct,72.5,49.6,4.96,32.64,0,0,0.16,0
1 Nov,72.1,49.3,0.12,32.76,0,0,0.12,0
2 Nov,71.7,48.9,0.24,32.87,0,0,0.11,0
3 Nov,71.4,48.6,0.35,32.99,0,0,0.12,0
4 Nov,71,48.2,0.47,33.11,0,0,0.12,0
5 Nov,70.6,47.8,0.59,33.23,0,0,0.12,0
6 Nov,70.2,47.5,0.71,33.35,0,0,0.12,0
7 Nov,69.8,47.1,0.83,33.43,0,0,0.08,0
8 Nov,69.4,46.7,0.91,33.54,0,0,0.11,0
9 Nov,69,46.3,1.02,33.66,0,0,0.12,0
10 Nov,68.6,46,1.14,33.78,0,0,0.12,0
11 Nov,68.2,45.6,1.22,33.86,0,0,0.08,0
12 Nov,67.8,45.2,1.34,33.98,0,0,0.12,0
13 Nov,67.4,44.8,1.42,34.06,0,0,0.08,0
14 Nov,66.9,44.4,1.54,34.17,0,0,0.11,0
15 Nov,66.5,44,1.61,34.25,0,0,0.08,0
16 Nov,66.1,43.6,1.73,34.33,0,0,0.08,0
17 Nov,65.7,43.2,1.81,34.45,0,0,0.12,0
18 Nov,65.3,42.8,1.89,34.53,0,0,0.08,0
19 Nov,64.8,42.4,2.01,34.61,0,0,0.08,0
20 Nov,64.4,42,2.09,34.72,0,0,0.11,0
21 Nov,64,41.6,2.17,34.8,0,0,0.08,0
22 Nov,63.6,41.3,2.24,34.88,0,0,0.08,0
23 Nov,63.2,40.9,2.32,34.96,0,0,0.08,0
24 Nov,62.8,40.5,2.4,35.04,0,0,0.08,0
25 Nov,62.4,40.1,2.48,35.12,0,0,0.08,0
26 Nov,62,39.7,2.56,35.2,0,0,0.08,0
27 Nov,61.6,39.4,2.64,35.28,0,0,0.08,0
28 Nov,61.2,39,2.72,35.35,0,0,0.07,0
29 Nov,60.8,38.7,2.83,35.43,0,0,0.08,0
30 Nov,60.5,38.3,2.91,35.51,0,0,0.08,0
1 Dec,60.1,38,0.08,35.63,0,0,0.12,0
2 Dec,59.8,37.7,0.2,35.71,0,0,0.08,0
3 Dec,59.4,37.4,0.28,35.79,0,0,0.08,0
4 Dec,59.1,37.1,0.35,35.91,0,0,0.12,0
5 Dec,58.8,36.8,0.43,35.98,0,0,0.07,0
6 Dec,58.5,36.5,0.55,36.06,0,0,0.08,0
7 Dec,58.2,36.2,0.63,36.18,0,0,0.12,0
8 Dec,57.9,36,0.71,36.26,0,0,0.08,0
9 Dec,57.6,35.7,0.83,36.34,0,0,0.08,0
10 Dec,57.4,35.5,0.91,36.42,0,0,0.08,0
11 Dec,57.1,35.2,0.98,36.5,0,0,0.08,0
12 Dec,56.9,35,1.06,36.61,0,0,0.11,0
13 Dec,56.7,34.8,1.14,36.69,0,0,0.08,0
14 Dec,56.5,34.6,1.22,36.77,0,0,0.08,0
15 Dec,56.3,34.4,1.34,36.85,0,0,0.08,0
16 Dec,56.1,34.3,1.42,36.93,0,0,0.08,0
17 Dec,55.9,34.1,1.5,37.01,0,0,0.08,0
18 Dec,55.8,34,1.57,37.09,0,0,0.08,0
19 Dec,55.6,33.8,1.65,37.17,0,0,0.08,0
20 Dec,55.5,33.7,1.73,37.28,0,0,0.11,0
21 Dec,55.4,33.6,1.81,37.36,0,0,0.08,0
22 Dec,55.3,33.5,1.89,37.44,0,0,0.08,0
23 Dec,55.2,33.4,1.97,37.52,0,0,0.08,0
24 Dec,55.1,33.3,2.05,37.6,0,0,0.08,0
25 Dec,55.1,33.2,2.13,37.68,0,0,0.08,0
26 Dec,55,33.1,2.2,37.76,0,0,0.08,0
27 Dec,55,33.1,2.28,37.83,0,0,0.07,0
28 Dec,54.9,33,2.36,37.91,0,0,0.08,0
29 Dec,54.9,33,2.44,37.95,0,0,0.04,0
30 Dec,54.9,32.9,2.52,38.03,0,0,0.08,0
31 Dec,54.9,32.9,2.56,38.07,0,0,0.04,0
